Data de referência,Número de ativos
2017-01-02,18
2017-01-03,18
2017-01-04,18
2017-01-05,18
2017-01-06,18
2017-01-09,18
2017-01-10,18
2017-01-11,18
2017-01-12,18
2017-01-13,18
2017-01-16,18
2017-01-17,18
2017-01-18,18
2017-01-19,18
2017-01-20,18
2017-01-23,18
2017-01-24,18
2017-01-25,18
2017-01-26,18
2017-01-27,18
2017-01-30,18
2017-01-31,18
2017-02-01,18
2017-02-02,21
2017-02-03,21
2017-02-06,21
2017-02-07,21
2017-02-08,21
2017-02-09,21
2017-02-10,21
2017-02-13,21
2017-02-14,21
2017-02-15,21
2017-02-16,21
2017-02-17,21
2017-02-20,21
2017-02-21,21
2017-02-22,21
2017-02-23,21
2017-02-24,21
2017-03-01,21
2017-03-02,31
2017-03-03,31
2017-03-06,31
2017-03-07,31
2017-03-08,31
2017-03-09,31
2017-03-10,31
2017-03-13,31
2017-03-14,31
2017-03-15,31
2017-03-16,31
2017-03-17,31
2017-03-20,31
2017-03-21,31
2017-03-22,31
2017-03-23,31
2017-03-24,31
2017-03-27,31
2017-03-28,31
2017-03-29,31
2017-03-30,31
2017-03-31,31
2017-04-03,31
2017-04-04,34
2017-04-05,34
2017-04-06,34
2017-04-07,34
2017-04-10,34
2017-04-11,34
2017-04-12,34
2017-04-13,34
2017-04-17,34
2017-04-18,34
2017-04-19,34
2017-04-20,34
2017-04-24,34
2017-04-25,34
2017-04-26,34
2017-04-27,34
2017-04-28,34
2017-05-02,34
2017-05-03,37
2017-05-04,37
2017-05-05,37
2017-05-08,37
2017-05-09,37
2017-05-10,37
2017-05-11,37
2017-05-12,37
2017-05-15,37
2017-05-16,37
2017-05-17,37
2017-05-18,37
2017-05-19,37
2017-05-22,37
2017-05-23,37
2017-05-24,37
2017-05-25,37
2017-05-26,37
2017-05-29,37
2017-05-30,37
2017-05-31,37
2017-06-01,37
2017-06-02,38
2017-06-05,38
2017-06-06,38
2017-06-07,38
2017-06-08,38
2017-06-09,38
2017-06-12,38
2017-06-13,38
2017-06-14,38
2017-06-16,38
2017-06-19,38
2017-06-20,38
2017-06-21,38
2017-06-22,38
2017-06-23,38
2017-06-26,38
2017-06-27,38
2017-06-28,38
2017-06-29,38
2017-06-30,38
2017-07-03,38
2017-07-04,42
2017-07-05,42
2017-07-06,42
2017-07-07,42
2017-07-10,42
2017-07-11,42
2017-07-12,42
2017-07-13,42
2017-07-14,42
2017-07-17,42
2017-07-18,42
2017-07-19,42
2017-07-20,42
2017-07-21,42
2017-07-24,42
2017-07-25,42
2017-07-26,42
2017-07-27,42
2017-07-28,42
2017-07-31,42
2017-08-01,42
2017-08-02,43
2017-08-03,43
2017-08-04,43
2017-08-07,43
2017-08-08,43
2017-08-09,43
2017-08-10,43
2017-08-11,43
2017-08-14,43
2017-08-15,43
2017-08-16,43
2017-08-17,43
2017-08-18,43
2017-08-21,43
2017-08-22,43
2017-08-23,43
2017-08-24,43
2017-08-25,43
2017-08-28,43
2017-08-29,43
2017-08-30,43
